Locus	Prop. Matching Expression with Dsc1	Gene
LOC5566444	0.551469544	
LOC5579502	0.551327559	
LOC5573556	0.550617635	
LOC5572546	0.55047565	
LOC5575446	0.54990771	
LOC5571049	0.549481755	
LOC5567111	0.548913815	
LOC110677055	0.54877183	
LOC110678492	0.54877183	
LOC5576251	0.54848786	
LOC5569582	0.548345875	
LOC5566602	0.548345875	
LOC5571145	0.54820389	
LOC5564176	0.547493966	
LOC5579140	0.547493966	
LOC110675138	0.547351981	
LOC5565593	0.547068011	
LOC5579043	0.546926026	
LOC5568128	0.546358086	
LOC5570978	0.546358086	
LOC5576177	0.545932131	
LOC5572191	0.545932131	
LOC5576927	0.545790146	
LOC5574526	0.545648161	
LOC5568181	0.545364191	
LOC5563690	0.545222206	
LOC5570050	0.544512282	
LOC5576845	0.543802357	
LOC5570848	0.543660372	
LOC5569579	0.543518387	
LOC5580082	0.543234417	
LOC5565256	0.542808462	
LOC5563948	0.542666477	
LOC5578943	0.541814568	
LOC5569180	0.541814568	
LOC5580206	0.541672583	
LOC5565651	0.541530598	
LOC5563590	0.541388613	
LOC5566044	0.540962658	
LOC5574506	0.540678688	
LOC5570913	0.540252733	
LOC5570719	0.540110748	
LOC5571968	0.538690899	
LOC5573469	0.538548914	
LOC110675502	0.538548914	
LOC5574069	0.538406929	
LOC5570907	0.538406929	
LOC5573245	0.537980974	
LOC5569395	0.537838989	
LOC110678373	0.537413034	
LOC5564986	0.536703109	
LOC5570859	0.536703109	
LOC5571584	0.536277155	
LOC5575537	0.53528326	
LOC5572782	0.535141275	
LOC5564449	0.535141275	
LOC110680505	0.534857305	
LOC5578454	0.53471532	
LOC5573842	0.53471532	
LOC5573175	0.534573335	
LOC5567461	0.534573335	
LOC5564596	0.53443135	
LOC5575809	0.534289365	
LOC5567869	0.534005395	
LOC5564363	0.534005395	
LOC5568303	0.53386341	
LOC5571846	0.533721426	
LOC5566678	0.533579441	
LOC110678170	0.533579441	
LOC5565834	0.532869516	
LOC5575273	0.532869516	
LOC5571578	0.532727531	
LOC5579840	0.532159591	
LOC5574462	0.531165696	
LOC5566538	0.531023711	
LOC5566167	0.530739742	
LOC5577136	0.530313787	
LOC5573936	0.529319892	
LOC5574167	0.529319892	
LOC5577722	0.529177907	
LOC5574166	0.528751952	
LOC5569470	0.528609967	
LOC5564419	0.528467982	
LOC5574615	0.528184012	
LOC5568591	0.528184012	
LOC5575220	0.527616073	
LOC110679098	0.527474088	
LOC5578584	0.527474088	
LOC5575521	0.527474088	
LOC5579452	0.527190118	
LOC5566015	0.526906148	
LOC110676232	0.526906148	
LOC5574639	0.526622178	
LOC5570041	0.526054238	
LOC5577098	0.525344314	
LOC5564855	0.525202329	
